NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10120H	5	1	-7	-7	7	1	6	2010
NS10120H	6	1	2008	11	6	1	6	2009
NS10120H	7	2	2007	9	6	1	6	2009
NS10120H	8	2	2007	9	5	1	7	2008
NS10120H	9	4	2006	11	5	1	7	2008
NS10120H	10	6	2006	-2	4	1	7	2007
NS10121J	1	1	2013	11	8	1	11	2015
NS10121J	2	1	2009	10	8	1	11	2015
NS10121J	3	2	-7	-7	7	1	6	2010
NS10121J	4	2	2008	9	6	1	7	2009
NS10121J	5	2	2006	9	5	1	7	2008
NS10121J	6	2	2006	-2	4	1	6	2007
NS10122K	1	-1	-1	-1	4	0	-1	-1
NS10123L	1	3	2007	3	6	1	6	2009
NS10123L	2	3	2007	3	5	1	6	2008
NS10123L	3	2	2006	-2	4	1	7	2007
NS10124M	1	2	-5	-1	5	1	6	2008
NS10124M	2	2	2006	-2	4	1	6	2007
NS10126P	1	1	2007	5	8	1	1	2016
NS10126P	2	1	-7	-7	7	1	5	2010
NS10126P	3	1	2007	10	6	1	5	2009
NS10126P	4	1	2007	10	5	1	6	2008
NS10126P	5	2	2006	9	5	1	6	2008
NS10126P	6	2	2006	-2	4	1	7	2007
NS10128R	1	1	2015	11	8	1	2	2016
NS10128R	2	1	2015	2	8	1	2	2016
NS10128R	3	1	2011	3	8	1	2	2016
NS10128R	4	2	2010	3	8	1	2	2016
NS10128R	5	1	-7	-7	7	1	7	2010
NS10128R	6	1	2008	5	6	1	6	2009
NS10128R	7	1	2008	4	5	1	7	2008
NS10128R	8	3	2007	12	5	1	7	2008
NS10128R	9	1	2007	9	5	1	7	2008
NS10128R	10	3	2007	4	5	1	7	2008
NS10128R	11	3	2007	4	4	1	8	2007
NS10128R	12	1	2006	9	4	1	8	2007
NS10129S	1	2	2006	9	5	1	8	2008
NS10129S	2	2	2006	-2	4	1	10	2007
NS10130C	1	2	-7	-7	7	1	5	2010
